Date,Average,Interpolated,Trend,,,,,
7/31/2012,394.36,394.36,393.92,,,,,
8/31/2012,392.39,392.39,394.17,,,,,
9/30/2012,391.11,391.11,394.54,,,,,
10/31/2012,391.05,391.05,394.41,,,,,
11/30/2012,392.98,392.98,395.02,,,,,
12/31/2012,394.34,394.34,395.04,,,,,
1/31/2013,395.55,395.55,395.4,,,,,
2/28/2013,396.8,396.8,396.02,,,,,
3/31/2013,397.43,397.43,395.85,,,,,
4/30/2013,398.41,398.41,395.53,,,,,
5/31/2013,399.78,399.78,396.41,,,,,
6/30/2013,398.61,398.61,396.28,,,,,
7/31/2013,397.32,397.32,396.92,,,,,
8/31/2013,395.2,395.2,397.08,,,,,
9/30/2013,393.45,393.45,396.99,,,,,
10/31/2013,393.7,393.7,397.04,,,,,
11/30/2013,395.16,395.16,397.14,,,,,
12/31/2013,396.84,396.84,397.58,,,,,
1/31/2014,397.85,397.85,397.64,,,,,
2/28/2014,398.01,398.01,397.19,,,,,
3/31/2014,399.77,399.77,398.16,,,,,
4/30/2014,401.38,401.38,398.54,,,,,
5/31/2014,401.78,401.78,398.46,,,,,
6/30/2014,401.25,401.25,398.96,,,,,
7/31/2014,399.1,399.1,398.7,,,,,
8/31/2014,397.03,397.03,398.88,,,,,
9/30/2014,395.38,395.38,398.88,,,,,
10/31/2014,396.03,396.03,399.39,,,,,
11/30/2014,397.28,397.28,399.32,,,,,
12/31/2014,398.91,398.91,399.66,,,,,
1/31/2015,399.98,399.98,399.77,,,,,
2/28/2015,400.28,400.28,399.47,,,,,
3/31/2015,401.54,401.54,399.94,,,,,
4/30/2015,403.28,403.28,400.44,,,,,
5/31/2015,403.96,403.96,400.64,,,,,
6/30/2015,402.8,402.8,400.5,,,,,
7/31/2015,401.31,401.31,400.9,,,,,
8/31/2015,398.93,398.93,400.78,,,,,
9/30/2015,397.63,397.63,401.13,,,,,
10/31/2015,398.29,398.29,401.65,,,,,
11/30/2015,400.16,400.16,402.2,,,,,
12/31/2015,401.85,401.85,402.6,,,,,
1/31/2016,402.52,402.52,402.31,,,,,
2/29/2016,404.04,404.04,403.22,,,,,
3/31/2016,404.83,404.83,403.22,,,,,
4/30/2016,407.42,407.42,404.58,,,,,
5/31/2016,407.7,407.7,404.39,,,,,
6/30/2016,406.81,406.81,404.52,,,,,
7/31/2016,404.39,404.39,403.98,,,,,
8/31/2016,402.25,402.25,404.1,,,,,
9/30/2016,401.03,401.03,404.52,,,,,
10/31/2016,401.57,401.57,404.93,,,,,
11/30/2016,403.53,403.53,405.58,,,,,
12/31/2016,404.48,404.48,405.22,,,,,
1/31/2017,406.13,406.13,405.92,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
