Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
2/16/2015,72.5373764,47.0427475,77.64980316,19.08800316,68.62889862,54.74455261,49.33613968,41.1099968,42.10165405
2/17/2015,72.37271881,47.05224991,77.8864212,19.15051079,69.12381744,54.82115936,49.3936882,41.12927246,42.0643692
2/18/2015,72.33397675,47.30884552,76.9588623,19.03330994,69.20145416,55.12758255,49.52796173,41.16783142,43.06169128
2/19/2015,72.55674744,47.00473022,76.59919739,18.95517731,69.31790924,55.22333908,49.66223526,41.31241608,42.57701492
2/20/2015,73.07009125,47.13777924,76.23007202,19.09581566,70.04573059,55.69255447,49.80610275,41.52447128,42.58633041
2/21/2015,73.07009125,47.13777924,76.23007202,19.09581566,70.04573059,55.69255447,49.80610275,41.52447128,42.58633041
2/22/2015,73.07009125,47.13777924,76.23007202,19.09581566,70.04573059,55.69255447,49.80610275,41.52447128,42.58633041
2/23/2015,73.00229645,47.27083206,75.91772461,19.04893684,70.36597443,55.45315933,49.74855423,41.5533905,42.87527466
2/24/2015,73.35098267,47.43239212,76.12595367,19.14269638,70.27863312,55.67340088,49.95955658,41.67869186,43.19218063
2/25/2015,73.9127655,47.27083206,76.54240417,19.14269638,70.24951935,55.55849457,49.81568909,41.41844177,42.4838028
2/26/2015,73.68030548,47.33735657,75.12267303,19.09581566,70.44360352,55.30952072,49.49918747,41.67869186,42.20418167
2/27/2015,73.58345032,47.52742767,74.79140472,19.02549744,70.1039505,55.0509758,49.38409424,41.53411102,42.15758133
2/28/2015,73.58345032,47.52742767,74.79140472,19.02549744,70.1039505,55.0509758,49.38409424,41.53411102,42.15758133
3/1/2015,73.58345032,47.52742767,74.79140472,19.02549744,70.1039505,55.0509758,49.38409424,41.53411102,42.15758133
3/2/2015,74.46485901,47.61296082,74.27084351,19.16613579,70.73473358,55.55849457,49.71018982,41.86183548,41.34667969
3/3/2015,74.26145935,47.43239212,74.5453186,19.11144257,70.09424591,55.2041893,49.44164276,41.58230591,41.59833527
3/4/2015,73.87402344,47.09976578,74.44120789,18.99424362,70.43390656,54.77327728,49.26900482,41.41844177,41.3653183
3/5/2015,73.92245483,47.26132965,73.99636078,19.07237625,70.68621063,54.81158066,49.05799866,41.37024689,41.69154358
3/6/2015,73.04103851,46.33947754,72.67127228,18.93173599,69.29849243,54.06467438,48.39622116,40.85938644,40.44256973
3/7/2015,73.04103851,46.33947754,72.67127228,18.93173599,69.29849243,54.06467438,48.39622116,40.85938644,40.44256973
3/8/2015,73.04103851,46.33947754,72.67127228,18.93173599,69.29849243,54.06467438,48.39622116,40.85938644,40.44256973
3/9/2015,73.45752716,46.59607697,72.15070343,19.01768303,69.72548676,54.57218933,48.46335983,41.05216599,40.51713181
